1;24510;1750
2;32360;4130
4;50520;7280
8;78750;24340
16;231960;34750
32;204270;73140
64;935020;148500
128;769410;307040
256;1017460;434000
512;2208720;1146280
1024;2136630;1748710
2048;4774520;3700640
